Technical	89	How does the new (as of July 2014) webtool production process work?	"Please see the relevant chapter of the Calculator Book: http://book.2050.org.uk/calculator-book/how-the-webtool-works.html
But, here's a quick summary list of the required webtool production steps:
1. install Ubuntu 12.04 64 bit
2. run the set up script https://github.com/decc/twenty-fifty/blob/master/util/setup-ubuntu-12.04.sh
3. (run bundle exec rake, and see 0.0.0.0:9292 to check if the UK version runs properly)
4. start a new branch / fork (might need to look at git help to see how)
5. edit the spreadsheet to contain the named ranges (see the more up to date versions, e.g. 3.6.0 of the UK model for inspiration - and please ask the UK team for help if you need to)
6. replace the spreadsheet in the model folder with the Colombia version, and name it model.xlsx
7. edit data_from_model.rb to list all of the relevant named ranges
8. run model/translate_excel_into_c.rb    $ruby translate_excel_into_c.rb
9. run model/compile_c_version_of_excel.rb       $ruby compile_c_version_of_excel.rb
10. bundle exec rakup (starts the local server)
11. navigate to 0.0.0.0:9292 in your browser
Assuming this all works, the nest step is to make cosmetic changes to the front page by editing index.html.erb, and then the JavaScript files if you want to change the charts.
"	Green	Greg		GH done	Colombian team
Technical	86	"We want to use 2010 as base year and then use the standard incremental steps of 5 years, plus maybe adding 2012 as the first simulated year for comparison (i.e. the equivalent to 2010 in the UK calculator).
I can't recall if this must be done by editing all sheets by hand and updating the trajectories accordingly, or if there is a ""master"" location where this editing can be done."	"To edit the time periods covered, each sector sheet must be edited individually. 
Unfortunately there isnÕt a master location for setting this."	Green	Greg		GH done	Greg's summary
Technical	87	"The series of ""DUKES"" sheets is, as far as I can figure, mainly a central database which is referred to in other spreadsheets. Assuming that all references in all sheets are updated with the correct numbers, is it safe to remove these sheets? This is part of my effort to produce a lighter, hopefully faster version of the workbook, and according to the Wallonia version it seems possible to do so (their numbers are written directly in the sector sheets, as far as I can see)."	"The ÔDUKESÕ worksheets are from the departmentÕs ÔDigest of UK Energy StatisticsÕ, a publication covering all the main aspects of the UK energy system. We decided to include these worksheets within the Calculator workbook so that users could more easily see where our base year numbers came from. 
Whether you maintain this aspect is a decision for you and your team, but please take note of the benefits of being transparent about your data sources."	Green	Greg		RC done	Greg's summary
Technical	127	"We have 20 years of data where we've reflected energy consumption, demands, and of course emissions. If we take this baseline then hopefully calculations will match the baseline data we have got. Should we include historic data in the tool?"	"The historic emissions are used as a starting point for many trajectory assumptions. So for example, if we look at domestic transport starting in 2007, levels 1 to 4 dictate what happens from that point onwards. The user has the opportunity to say what will happen to demand afterwards.
In terms of including historic data, with hindsight maybe this would have been good idea. Historic data would help the user when they're trying to determine chosen pathway to see what happened historically. This is what we have done in some of the one-pagers: for example, showing the rate of nuclear build in various countries historically, which helps to show how ambitious the UKÕs levels 1 to 4 are.
It's possible to have as much historic data in calculator as you like. You just need to pick date in history where that stops and modelling starts."	Amber	Greg/Ruth		EH	Mexican workshop
Technical	193	Why do you use a complicated process where the model is converted from Excel to the webtool? Why not just keep them separate.	TBD	Red	Greg/Ruth			Ruth made up
Technical	194	"What made you choose a separate web-hosting service, rather than just on DECC's server? Are there other considerations?
"	TBD	Red	Greg/Ruth			Ruth made up
Technical	154	How do I make a pathway in the spreadsheet?	"Users of the 2050 Calculator spreadsheet (referred to as Òthe CalculatorÓ from here on) can create their own pathway to 2050 as follows:
1. Go to the ÒControlÓ worksheet and enter your pathway choice into column E. You can ÔcopyÕ and ÔpasteÕ an example pathway (choosing one from columns M to AB) or enter your own. You can use decimals.
2. Press F9 to refresh the Calculator
3. View the results of your pathway on the ÒControlÓ worksheet, from rows AF onwards.
4. For tips on how to make a good pathway, see: the ÒCreate your pathwayÓ section at: http://www.decc.gov.uk/en/content/cms/tackling/2050/calculator_on/calculator_on.aspx
5. You can paste your pathway from Excel to the Webtool and from the Webtool into Excel (see the answer to ÒHow do you paste a pathway between Excel and the web tool?Ó below)."	Amber	How-to guide	Check still true?	RC	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/65606/6966-2050-calculator-spreadsheet-how-to-guide.pdf
Technical	155	How does the Calculator model air quality?	Details about air quality impacts can be found on the following website page: http://2050-calculator-tool-wiki.decc.gov.uk/pages/80	Amber	How-to guide	Check still true?	GH/TC	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/65606/6966-2050-calculator-spreadsheet-how-to-guide.pdf
Technical	156	How do you change the trajectory definitions (e.g. how can I redefine level 4)?	"Each sector has a dedicated worksheet (for example, hydrocarbon fuel generation is in a worksheet called ÒI.aÓ). For each sector, the trajectories are defined near the top of the worksheet under a Òtrajectory assumptionsÓ heading and marked in orange. The trajectories can be redefined by changing the values in each of the rows against each of the trajectories. For example, trajectory 4 of the installed biomass capacity can be amended by changing cells G27 to O27 in the hydrocarbon fuel generation worksheet ÒI.aÓ.
Levels 1 to 4 are designed to cover a broad range of possibilities and to test the boundaries of what might be possible. They are intended to reflect the whole range of potential futures that might be experienced in each sector. They are illustrative and are not based on assumptions about future policy and its impacts, and should not be interpreted as such. These levels were agreed following an extensive call for evidence in Summer 2010 and represent a shared view between the UK Government, businesses, academics and green groups on the minimum and maximum effort across sectors. Users are of course free to change these trajectories but they should bear in mind where the level definitions came from."	Green	How-to guide		RC done	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/65606/6966-2050-calculator-spreadsheet-how-to-guide.pdf
Technical	158	Why are there three 2007 worksheets?	"The UK has three worksheets that contain data for 2007 (our base year). The reason for this is to be able to compare modelled data from DUKES (our official energy statistics) with the modelled values for the same year. The 2007 (consistent) sheet is an intermediate stage where the data from DUKEs is grouped by the calculator's categories - this is because our decision throughout the model was to use groupings that made sense for the Calculator, even if this was slightly different to the official statistics.
- Ò2007 (actual, frozen)Ó contains Historic data from Digest of United Kingdom Energy Statistics (DUKES). This is grouped according to the DUKES definitions.
- Ò2007 (consistent)Ó contains Historic data from (DUKES). This is grouped according to Calculator definitions
- Ò2007Ó contains Calculator projections, grouped according to Calculator definitions"	Amber	How-to guide	First draft - does it cover enough? Is it clear?	GH	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/65606/6966-2050-calculator-spreadsheet-how-to-guide.pdf
Technical	118	How could we represent cogeneration/CHP in our model?	"There is scope to use CHP/district heating technologies in the Calculator. See the Òhome heating that isnÕt electricÓ and Òcommercial heating that isnÕt electricÓ options. For a full discussion of these technologies, see section D of the report published in July 2010 (http://www.decc.gov.uk/assets/decc/What%20we%20do/A%20low%20carbon%20UK/2050/216-2050-pathways-analysis-report.pdf).
For a table showing how CHP and district heating is reflected in the Calculator, see page 123 of Part 2B of the subsequent report: http://www.decc.gov.uk/assets/decc/Consultations/2050/1344-2050-pathways-analysis-response-pt2.pdf
Other countries have also considered cogeneration. For example, India's calculator said ""Industries in which both process heat and electricity are needed are well suited for cogeneration of electricity. A significant potential for cogeneration exists in the country, particularly in the sugar industry. SERCs may promote arrangements between the co-generator and the concerned distribution licensee for purchase of surplus power from such plants. Cogeneration system also needs to be encouraged in the overall interest of energy efficiency and also grid stability."""	Amber	PAR	First draft - does it cover enough? Is it clear?	GH	Mexican workshop
Technical	134	What does the model consider for industrial energy intensity?	"There are four variables which comprise the three energy intensity scenarios: 
¥ deployment of CCS
¥ the extent to which industries switch fuels
¥ the level of process emissions
¥ and energy intensity by sector.
Like output growth, these are grouped in the Calculator to create three scenarios with high, medium and low possibilities.
¥ For CCS and fuel switching, the assumptions used are applied equally to all industry sectors.
¥ For process emissions and energy intensity, the model makes specific judgements based on sector.
"	Amber	PAR	Check if need updating	GH	Ruth question idea
Technical	153	What does capacity factor mean?	"The capacity factor is the actual power produced over a period of time, expressed as a percentage of the power that may have been produced if the station was running at full power for that period. e.g. a 10MW rated wind farm could theoretically produce 10 * 8760 = 87,600,000 kWh/year but if it only produces 3,066,000 kWh/year it has a capacity factor of 35%.
These pages give more detail: http://en.wikipedia.org/wiki/Capacity_factor or http://www.esru.strath.ac.uk/EandE/Web_sites/01-02/RE_info/interesting.htm"	Amber	Ruth	First draft - does it cover enough? Is it clear?	LA	
Technical	113	The INDEX/MATCH formulae used to look up data are so complicated! Why don't you just use VLOOKUP?	"VLOOKUP formulae are useful, but for a large spreadsheet they are slow, and more likely to cause errors if columns are moved or deleted. For this reason, the Calculator uses the much quicker and more reliable combination of Index and match formula. By using index and match together in Excel, you can match a cell based on 3 criteria, but it's complex which is why formulae can seem complicated and fiddly at first. However there are only a few variations of the formulae that you will need to understand.
You can read how this works at the following link: http://book.2050.org.uk/calculator-book/index.html
But in brief, ÔIndex and MatchÕ formulae combine two Excel worksheet functions (ÔIndexÕ and ÔMatchÕ) to provide a flexible way of performing a ÔlookupÕ. The ÔIndexÕ function returns a specific value from a specified array, according to the row and column numbers stipulated in the formulae. The ÔMatchÕ function returns the relative position of a given value within a specified array.
The ÔMatchÕ function can be used in place of either the column or row reference (or both) within the ÔIndexÕ function. This enables the return of a value within an array by referring to a particular value in the column or row heading (rather than referring to a the row number or column number). Within the Calculator, index and match formulae are largely used in conjunction with other functions, as shown in the example immediately below, where the approach is used together with structured table references."	Amber	Ruth	First draft - does it cover enough? Is it clear?	LA	Ruth question idea
Technical	79	"Can we add new vectors? If so, how?"	"These vectors (both primary and secondary) aim to be mutually exclusive and comprehensive of the whole energy system (i.e. collectively exhaustive, so that in combination they cover the whole energy system). It would be ok to change definitions to better fit Colombian statistical conventions, but you would need to be very careful that you were not going to double count anything (e.g. make sure everything is mutually exclusive).
You would need to add any additional primary or secondary sources as vectors in the technology sheets, and then also add these to the year sheets. WeÕd be happy to advise if you do decide that youÕd like to add any new vectors, just to make sure that there are no conflicts with anything else."	Green	Ruth		GH done	Colombian team
Technical	117	Does the model include the impacts of climate change on water levels?	"We don't have any climate feedbacks currently in the UK model.  This is largely because reducing emissions in the UK alone (which accounts for less than 2% of global emissions) will not in itself reduce climate impacts - this would require global action.
Our team's Global Calculator could now help you to explore climate impacts of global choices though. The webtool is available at the link below (along with the spreadsheet and other supporting materials): http://tool.globalcalculator.org/"	Green	Ruth		GH done	Mexican workshop
Technical	4	What programming software/tools do I need to update the webtool or wiki?	"You need to use a Unix based computer (so, a mac or Linux - we recommend Ubuntu 12.04 64 bit), and some resources that can be downloaded from our GitHub page.  You also need to install a few existing open source products.
Details of these and the process more widely are explained in the Book: http://book.2050.org.uk/calculator-book/how-the-webtool-works.html"	Green	wiki		GH done	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Technical	5	"If I want to recompile the tool to reflect changes to the Excel model, how can I do this?"	"Place your new spreadsheet in the twenty-fifty/model folder, run translate_excel_into_c.rb  then run compile_c_version_of_excel.rb.  For full details see: http://book.2050.org.uk/calculator-book/how-the-webtool-works.html"	Green	wiki		GH done	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Technical	48	Is the 2050 Calculator an optimisation model?	"No, the 2050 Calculator is a user driven model. The user specifies energy supply and demand across the economy by selecting effort levels for around 40 sectors. In this respect, the Calculator is fundamentally different from cost optimisation models such as MARKAL. Models such as MARKAL examine the costs of different technologies and work out the least cost pathway to achieving an emissions reduction target.
It is possible to identify low cost pathways using the Calculator, but the user has to do this manually through an iterative process. An example of a very low cost pathway is the Analogous to MARKAL pathway (http://2050-calculator-tool-wiki.decc.gov.uk/pages/170 describes a representation of a least cost pathway from MARKAL).
However, if you wish to use the 2050 calculator as an optimisation model, you can. You need to use the code from here: https://github.com/decc/decc_2050_optimizer
"		wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Technical	1	Where do I find the source code?	"The source code for the web front end is available here: http://github.com/decc/twenty-fifty
The source code for this wiki is available here: http://github.com/decc/twenty-fifty-wiki"	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Technical	68	"As another country developing a calculator, what *stress test* should we use to examine balancing needs?"	"In the UK we use an example of 5 days of bad UK weather (no sun so no solar energy, no wind so no wind energy, cold weather so high heat demand). Think about what a ""period of bad weather"" might look like in your country?"	Green	wiki			http://2050-calculator-tool-wiki.decc.gov.uk/pages/209
Technical	69	"As another country developing a calculator, what *sectors* might we need?"	"In the UK Calculator we include sectors which correspond to energy options that may not exist in your country. For example, do you have any tidal stream potential? If not, remove the sector."	Green	wiki			http://2050-calculator-tool-wiki.decc.gov.uk/pages/209
Technical	70	"As another country developing a calculator, what technologies might you need to include?"	"In the UK we use technologies that may not be used in your country. If they are not (and will never) be used in your country, then you can remove these."	Green	wiki			http://2050-calculator-tool-wiki.decc.gov.uk/pages/209
Technical	71	"As another country developing a calculator, what *outputs* should we be interested in?"	"We look at emissions, costs, energy security (imports and exports, energy mix), air quality and are considering water and biodiversity impacts. Which of these are important for you? (If they are not needed, it's worth removing them to make the model more simple) What have we missed? 
"	Green	wiki			http://2050-calculator-tool-wiki.decc.gov.uk/pages/209
Technical	96	"What kind of team structure works best for building an Excel model? How many people are needed, and what kind of roles & experience are most important."	"For the sector work, it's really helpful to have a range of different experiences on the relevant sectors. The text here should help you:
http://book.2050.org.uk/calculator-book/getting-started.html#building-a-team
We strongly recommend having someone in a Central Coordination role, and it's very helpful for them to have Excel expertise so that they can take charge of merging the Excel spreadsheet."	Amber		RC update - sent to Ed for review	LA	Mexico - transport call
Technical	110	"As a team working on the Excel model, what should we think about when the team is restructured?
"	"From our experience with other teams it can cause delays when a team is restructured. The most important considerations are:
-the overall time given to the project: Can the new team devote as much time to the project as is needed. Are there any milestones which are likely to be missed, and how can you plan work to get back on schedule?
-training: It's important to give time for any new people to learn about the 2050 calculator and the parts relevant to their sector. We recommend new people read the 2050 book and this set of Frequently Asked Questions. The 2050 team would also be happy to help new people, either with a training session or by reviewing their work in more detail."	Amber		RC update - sent to Ed for review	EH	Ruth question idea
Technical	125	"Should we treat the whole of Mexico as a single unit, or divide by north/South
Given that Mexico is already divided by electricity tariff, would it make sense for buildings sector to be divided?
"	TBD	Red			GH/EH	Mexico workshop
Technical	135	How does the UK Calculator deal with grid connectivity and transmission?	"Transmission: The UK 2050 Calculator assumes that there is one national electricity grid that can connect to all electricity generation technologies (e.g. micro-wind to nuclear power). It also assumes that all electricity consumers within the economy have access to this grid. To give an extreme example Ð if offshore wind is built in a potentially remote area (e.g. far off the Scottish coast) the Calculator assumes that this electricity will just go into the general pool of electricity generation, to be consumed by the overall total demand for electricity (i.e. it does not assume that this electricity will be consumed by a particular actor or in a particular geographic area). This is a modelling simplification that was deemed reasonable given that the 2050 Calculator looks to provide a simple, but credible, macro-view of the UK."	Amber				
Transport	137	What transport technologies does the UK consider?	"The Calculator has four technology types for domestic transport. For ÒcarsÓ (cars, vans and motorcycles) and ÒbusesÓ these technology types are: internal combustion engine; hybrid electric vehicle; electric vehicle, and; fuel-cell vehicle. For ÒrailÓ the technology types are diesel and electric. The user decides the proportion of vehicles that will be electrified.
In 2007 it is assumed that all cars and buses use internal combustion engines, and rail is split between 35% diesel and 65% electric. The Calculator has four trajectories for the type of technology used in electric and hybrid vehicles: battery or fuel cell."	Amber				Ruth question idea
Transport	191	How do you account for bicycle in terms of emissions?	TBD	Red	Ed/Ruth			
Transport	138	What lifetimes are assumed for transport technologies?	"The Calculator includes life spans for each of the technologies, which are taken from MARKAL. The original source for this data is not documented. The life spans are: ÒbikeÓ = 5 years; ÒcarsÓ = 12 years; ÒbusesÓ = 15 years; ÒrailÓ = 40 years; ÒairÓ = 30 years.
Freight lifespans are: ÒroadÓ = 7 years; ÒrailÓ = 30 years."	Amber	PAR			Ruth question idea
Transport	176	How ambitious should we be on electric vehicles?	TBD	Red	RC	Too brief		Discussion with Indonesian team
Transport	100	"Do we still need to include new vehicles in 2010, given that this is before the base year?"	"If you are including costs in your calculator, the cost of cars in this year will be part of the total, so you will need to have a value for it. If no historic data is available, you could just extrapolate based on trends before and afterwards.
If your calculator's version does not yet include costs, it is not essential to give this figure, but it would still be good practice in case costs are added in the future."	Amber	Ruth	First draft - does it cover enough? Is it clear?	EH	Ruth question idea
Transport	169	"In the one pager of domestic freight transport, levels one to four depend of the amount of cargo transported (ton-km/person/year) and the modal partition. However in those calculations it seems that is not taken into account these values. How  does the calculator use those values?."	TBD	Red	Ruth		GH	Discussion with Colombian team
Transport	30	In case of international shipping could we use the sheet XII. e to model emissions from cross-border waterways (rivers) (Hungary does not have sea shore but there is international shipping on Danube river through or into Hungary)	"Yes, if you can agree a method on how to apportion emissions and have data to estimate travel demand"	Amber	wiki	A bit brief - can we add any advice on other countries and how they've done this?	EH	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Transport	29	Regarding aviation how are the international flights taken into account? What ratio of an arrival or departure flight is considered as local emission? (XII. c sheet)	"For the purpose of this 2050 analysis, international aviation emissions have been assigned to the UK on the basis of all flights departing from the UK."	Green	wiki		RC done	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Transport	31	The petrol and diesel demand is determined on transport sheets. Why is it necessary to deliver the oil product demand on sheet XV a? Is the demand for refinery products not matched with the transport energy demand in the model?	"Refinery demand is determined by the indigenous production of oil. This is a choice for the user. If there is excess demand for oil above this indigenous production (for example, from high transport demand) then the Calculator will ÒimportÓ the oil."	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Transport	32	Where are the emissions from H2 and electricity based transport allocated? (at transport or at electricity/H2 production)?	The emissions from the H2 production are captured in sheet VIII.a. The emissions from electricity for transport are in each of the respective sector worksheets for the technologies that produce electricity. The transports sector sheets capture the combustion emissions associated with vehicles that have internal combustion engines.	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Transport	33	"On XII. b sheet the equations seems like a little confused. Could you please explain the equations from row 32-43 (we do not see the connection between fuel use and distance) and rows 72-75? However, in our views the efficiencies (row 61 & 69) as defined on the sheet, could be delivered simply as the ratio of fuel use and distance Ð this equation is not provided, isnÕt?"	"There is a full answer here:
http://2050-calculator-tool-wiki.decc.gov.uk/pages/131"	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Transport	34	Is the electricity need of transport matched with the electricity generation supply? Is the emission from EVs reflected by the electricity fuel mix?	See answer to question 8. The emissions from electricity for transport are in each of the respective sector worksheets for the technologies that produce electricity. The transport sector sheets capture the combustion emissions associated with vehicles that have internal combustion engines.	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Transport	50	Why does fuel cell technology in motor vehicles use gas?	"The adoption of fuel cell technology in vehicles in the 2050 Calculator is determined by the user of the Calculator as follows:
 1.The user selects the absolute number of motor vehicles that will be driven up to 2050, using the Òdomestic transport behaviourÓ lever;
 2.The user selects the proportion of vehicles they want to be electrified up to 2050, using the Òshift to zero emission transportÓ lever; and
 3.The user selects the technology they want electrified motor vehicles to adopt (hydrogen fuel cells or battery electric) in the Òchoice of car and van technologyÓ lever.
 
The 2050 Calculator then ÒproducesÓ enough hydrogen to provide the hydrogen demanded by hydrogen fuels cell vehicles (specified by the user in steps i to iii). This production requires gas and electricity in proportions that vary over time:
 1.Hydrogen is produced either by Òsteam methane reformingÓ (SMR) using gaseous hydrocarbons or Òdistributed water electrolysisÓ (DWE) using electricity; and
 2.the Calculator assumes that over time hydrogen will increasingly be produced by DWE, and so produced using electricity rather than gas (it is assumed that by 2050 100% of hydrogen will be produced by DWE). 
"	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Units	85	"Under the individual Supply sheets, the ""Fixed assumptions"" section also has an ""Implications"" subsection (e.g. rows 70-71 in II.a (Nuclear), or 53-54 under III.a.2 (Onshore wind)).
We notice that units there are somewhat misleading, sometimes quoting capacity and then giving actually energy values instead of power. How are these values actually entering the model?"	"In the case of nuclear the ÔimplicationsÕ section is used to state the illustrative size of power station considered: 3GW. The lever for this sector allows the user to specify capacity in GW, so the illustrative station size is used to work out the number of power stations this would entail. The cost estimates we have for this sector are also on a 3GW station basis, so itÕs necessary to know the number of stations to work out the costs. Precisely the same approach is used in the onshore wind sector. 
(The Ôtrace dependents feature on the ÔformulasÕ tab is really useful for seeing how these figures are used. )"	Green	Greg		RC done	Greg's summary
Units	115	How do I add my currency to the Conversions sheet?	"The Conversions sheet is designed so that this should be very easy to do, and this summary should help you understand how the units work. (Also see question 90):
http://book.2050.org.uk/calculator-book/appendix-4-units.html
The easiest way to add a new currency unit is to follow these steps:
- Go to the Conversions sheet and scroll down to the title 'Cost conversions' which lists all currencies.
- We recommend keeping all the existing rows there (as someone may still want to use UK or other currencies), so the first stage is to copy an existing row to create a duplicate.
- Decide the name you want to use for your currency, and type this name into column D. We recommend using the standard prefixes (k for 1,000, then M for 1 million, G for 1 billion and T for 1,000 billion)
- In column E, set the named range to be the same as the name you typed in column D.
- Enter the conversion rate in column F. For the UK version, we have hardcoded this column as the £ conversion value (i.e.. the value for £1 is 1, and all other values are proportional to this). You could easily choose another currency (e.g. $) here, but you just need to make sure your conversions are correct.
- The formula in column E should automatically be correct if you copied it from another row - this will adjust all numbers to be in your preferred currency (as set in the Preferences sheet).
- Test your currency is working by typing = [your named currency range] into a blank cell, and making sure this gives the expected value in the preferred currency. It's easy to get the conversion the wrong way round, so double-check that you are correct."	Amber	Ruth	First draft - does it cover enough? Is it clear?	GH	Ruth question idea
Units	90	"About units conversion in the excel, my question is: What is the unit of the fixed numbers in these formulas? For example:
 
= (Unit.GW)*0,6. What is the unit of 0.6?
= 0.04*(1/Unit.TWh). What is the unit of 0.04 ?
 
I guess the unit of energy is TWh and the unit of power is GW."	"On your units question, I think the explanation here might be the best way to describe it.
http://book.2050.org.uk/calculator-book/appendix-4-units.html
 
To give some more explanation, in the UK calculator we use TWh as the energy unit preference (see the Preferences sheet). However the reason we always multiply any values by (Unit.name of unit) is that this allows people to enter numbers in any unit they choose, while ensuring that numbers are still displayed in the preferred unit through the spreadsheet.
So to take your example:
¥    0.6 doesnÕt have a unit itself, but if you write it into the calculator as (Unit.GW)*0.6 then it will always be treated as 0.6GW, and the cell will show it as 0.6, because GW are the preferred units.
¥    However if you wrote it as (Unit.MW) *0.6, then the cell calculation would show it as 0.0006 instead (again because the preferred unit is GW)."	Green	Ruth		RC done	Colombian team
Units	129	"How do you change the default units? 
"	"The units of measurement are defined in the ÒPreferenceÓ worksheet. It is possible to change the energy, power, area and money units of measurement.
See this link for more information about units: http://book.2050.org.uk/calculator-book/appendix-4-units.html"	Green	Slidepack		RC done	Training pack
Year sheet	112	I've changed the year sheet for one of the years. What do I need to do to update all the other year sheets?	"All the year sheets are designed to have the same structure. They are essentially identical, apart from the year which they represent.
Just changing the year displayed in the top left-hand corner of the worksheet (cell E2) will cause the formulae to update so that the entire year sheet will then show data for the newly entered year.
So once you have made changes to one year sheet, you can create all the other year sheets by:
1) deleting all year sheets, except the one you have just updated
2) copying (duplicating) your updated year sheet the required number of times. (You can do this by right-clicking on the sheet tab at the bottom of the page, clicking 'Move or Copy',  selecting 'create a copy' then clicking OK)
3) then entering the required years (2010, 2015, É , 2050) in cell E2 of the corresponding sheets. 
You can read more about year sheets here: http://book.2050.org.uk/calculator-book/appendix-1-the-excel-model-structure.html#year-sheets"	Green	Ruth		GH done	
